Code,Name,C,M,Y,K,R,G,B
PC 1030,Raspberry,41,85,40,14,129,33,132
PC 1019,Rosy Beige,21,31,21,0,201,176,201
PC 1001,Salmon,0,32,42,0,255,173,148
PC 940,Sand,10,40,74,0,230,153,66
PC 1094,Sandbar Brown,41,55,100,26,111,85,0
PC 120,Sap Green  Light,55,0,50,5,109,188,149
PC 923,Scarlett Lake,5,99,92,1,240,3,20
PC 1093,Seashell Pink,1,40,55,0,252,153,115
PC 948,Sepia,67,44,66,26,62,106,64
PC 945,Sienna Brown,32,56,76,14,149,96,53
PC 1086,Sky Blue Light,25,2,0,0,191,250,255
PC 936,Slate Gray,77,43,35,7,55,135,154
PC 1003,Spanish Orange,1,26,99,0,252,189,3
PC 913,Spring Green,44,0,99,0,143,255,3
PC 917,Sunburst Yellow,0,50,90,0,255,128,25
PC 944,Terracotta,28,70,86,18,151,63,29
PC 903,True Blue,77,29,0,0,59,181,255
PC 910,True Green,79,17,79,3,52,205,52
PC 937,Tuscan Red,40,80,65,42,89,30,52
PC 902,Ultramarine,96,71,1,0,10,74,252
PC 932,Violet,83,84,28,14,37,35,158
PC 933,Violet Blue,100,82,10,1,0,45,227
PC 1050,Warm Grey 10,1,2,1,0,252,250,252
PC 1051,Warm Grey 20,3,4,2,0,247,245,250
PC 1052,Warm Grey 30,8,9,5,0,235,232,242
PC 1054,Warm Grey 50,15,17,11,0,217,212,227
PC 1056,Warm Grey 70,45,44,35,3,136,139,161
PC 1058,Warm Grey 90,61,63,52,33,67,63,82
PC 938,White,0,0,0,0,255,255,255
PC 1004,Yellow Chartreuse,22,0,99,0,199,255,3
PC 942,Yellow Ochre,4,21,79,0,245,201,54
PC 1002,Yellowed Orange,2,10,99,0,250,230,3
